_X,_Y,ID,Coordinates
3.39026657,34.80025256,1,"POINT 3390.26657,34800.25256"
3.39026657,34.12025252,2,"POINT 3390.26657,34120.25252"
3.39026657,33.60025256,3,"POINT 3390.26657,33600.25256"
3.39026657,33.23725254,4,"POINT 3390.26657,33237.25254"
3.39026657,32.73725254,5,"POINT 3390.26657,32737.25254"
3.39026657,32.23725254,6,"POINT 3390.26657,32237.25254"
3.39026657,31.73725254,7,"POINT 3390.26657,31737.25254"
3.89026657,31.73725254,8,"POINT 3890.26657,31737.25254"
4.39026657,31.73725254,9,"POINT 4390.26657,31737.25254"
4.89026657,31.73725254,10,"POINT 4890.26657,31737.25254"
5.39026657,31.73725254,11,"POINT 5390.26657,31737.25254"
5.79626657,31.73725254,12,"POINT 5796.26657,31737.25254"
6.29626657,31.73725254,13,"POINT 6296.26657,31737.25254"
6.29626657,32.23725254,14,"POINT 6296.26657,32237.25254"
6.29626657,32.73725254,15,"POINT 6296.26657,32737.25254"
6.29626657,33.23725254,16,"POINT 6296.26657,33237.25254"
6.29626657,33.60025256,17,"POINT 6296.26657,33600.25256"
6.29626657,34.12025252,18,"POINT 6296.26657,34120.25252"
6.29626657,34.80025256,19,"POINT 6296.26657,34800.25256"
6.29626657,35.32025252,20,"POINT 6296.26657,35320.25252"
3.89026657,31.23725254,21,"POINT 3890.26657,31237.25254"
3.89026657,30.73725254,22,"POINT 3890.26657,30737.25254"
3.89026657,30.23725254,23,"POINT 3890.26657,30237.25254"
3.89026657,29.73725254,24,"POINT 3890.26657,29737.25254"
3.89026657,29.23725254,25,"POINT 3890.26657,29237.25254"
3.89026657,28.73725254,26,"POINT 3890.26657,28737.25254"
3.89026657,28.23725254,27,"POINT 3890.26657,28237.25254"
3.89026657,27.73725254,28,"POINT 3890.26657,27737.25254"
3.89026657,27.23725254,29,"POINT 3890.26657,27237.25254"
3.89026657,26.73725254,30,"POINT 3890.26657,26737.25254"
3.89026657,26.34500467,31,"POINT 3890.26657,26345.00467"
3.89026657,25.84500467,32,"POINT 3890.26657,25845.00467"
4.39026657,25.84500467,33,"POINT 4390.26657,25845.00467"
4.88328191,25.84500467,34,"POINT 4883.28191,25845.00467"
5.38328191,25.84500467,35,"POINT 5383.28191,25845.00467"
5.70617285,25.84500467,36,"POINT 5706.17285,25845.00467"
6.20617285,25.84500467,37,"POINT 6206.17285,25845.00467"
6.20617285,25.34500467,38,"POINT 6206.17285,25345.00467"
6.20617285,24.84500467,39,"POINT 6206.17285,24845.00467"
6.20617285,24.34500467,40,"POINT 6206.17285,24345.00467"
6.20617285,23.84500467,41,"POINT 6206.17285,23845.00467"
6.20617285,23.34500467,42,"POINT 6206.17285,23345.00467"
6.20617285,22.84500467,43,"POINT 6206.17285,22845.00467"
6.20617285,22.34500467,44,"POINT 6206.17285,22345.00467"
6.20617285,21.84500467,45,"POINT 6206.17285,21845.00467"
6.20617285,21.34500467,46,"POINT 6206.17285,21345.00467"
6.20617285,20.84500467,47,"POINT 6206.17285,20845.00467"
6.20617285,20.34500467,48,"POINT 6206.17285,20345.00467"
6.20617285,19.84500467,49,"POINT 6206.17285,19845.00467"
6.20617285,19.34500467,50,"POINT 6206.17285,19345.00467"
6.20617285,18.84500467,51,"POINT 6206.17285,18845.00467"
6.20617285,18.34500467,52,"POINT 6206.17285,18345.00467"
6.20617285,17.84500467,53,"POINT 6206.17285,17845.00467"
6.20617285,17.34500467,54,"POINT 6206.17285,17345.00467"
6.20617285,16.84500467,55,"POINT 6206.17285,16845.00467"
6.20617285,16.34500467,56,"POINT 6206.17285,16345.00467"
6.20617285,15.84500467,57,"POINT 6206.17285,15845.00467"
6.20617285,15.34500467,58,"POINT 6206.17285,15345.00467"
6.20617285,14.84500467,59,"POINT 6206.17285,14845.00467"
6.20617285,14.34500467,60,"POINT 6206.17285,14345.00467"
6.20617285,13.84500467,61,"POINT 6206.17285,13845.00467"
6.20617285,13.34500467,62,"POINT 6206.17285,13345.00467"
6.20617285,12.84500467,63,"POINT 6206.17285,12845.00467"
6.20617285,12.34500467,64,"POINT 6206.17285,12345.00467"
6.20617285,11.84099491,65,"POINT 6206.17285,11840.99491"
6.20617285,11.34099491,66,"POINT 6206.17285,11340.99491"
6.20617285,10.84099491,67,"POINT 6206.17285,10840.99491"
6.20617285,10.52799998,68,"POINT 6206.17285,10527.99998"
6.20617285,10.02799998,69,"POINT 6206.17285,10027.99998"
6.20617285,9.52799998,70,"POINT 6206.17285,9527.99998"
6.20617285,9.00800002,71,"POINT 6206.17285,9008.00002"
6.20617285,8.32799998,72,"POINT 6206.17285,8327.99998"
6.20617285,7.80800002,73,"POINT 6206.17285,7808.00002"
6.20617285,7.09299998,74,"POINT 6206.17285,7092.99998"
6.20617285,6.57300002,75,"POINT 6206.17285,6573.00002"
6.20617285,5.89299998,76,"POINT 6206.17285,5892.99998"
6.20617285,5.37300002,77,"POINT 6206.17285,5373.00002"
6.70617285,11.34099491,78,"POINT 6706.17285,11340.99491"
7.20617285,11.34099491,79,"POINT 7206.17285,11340.99491"
7.70617285,11.34099491,80,"POINT 7706.17285,11340.99491"
8.20617285,11.34099491,81,"POINT 8206.17285,11340.99491"
8.70617285,11.34099491,82,"POINT 8706.17285,11340.99491"
9.20617285,11.34099491,83,"POINT 9206.17285,11340.99491"
9.70617285,11.34099491,84,"POINT 9706.17285,11340.99491"
10.24215194,11.341,85,"POINT 10242.15194,11341"
10.74215194,11.341,86,"POINT 10742.15194,11341"
10.74215194,10.84099491,87,"POINT 10742.15194,10840.99491"
10.74215194,10.52799998,88,"POINT 10742.15194,10527.99998"
10.74215194,10.02799998,89,"POINT 10742.15194,10027.99998"
10.74215194,9.52799998,90,"POINT 10742.15194,9527.99998"
10.74215194,9.00800002,91,"POINT 10742.15194,9008.00002"
10.74215194,8.32799998,92,"POINT 10742.15194,8327.99998"
10.74215194,7.80800002,93,"POINT 10742.15194,7808.00002"
10.74215194,7.09299998,94,"POINT 10742.15194,7092.99998"
10.74215194,6.57300002,95,"POINT 10742.15194,6573.00002"
10.74215194,5.89299998,96,"POINT 10742.15194,5892.99998"
10.74215194,5.37300002,97,"POINT 10742.15194,5373.00002"
3.39026657,35.32025252,98,"POINT 3390.26657,35320.25252"
